POA_CODE,POA_NAME,SQKM,id,long_c,lat_c
0800,0800,3.12306415134995,0,130.8436147980371,-12.461746059153212
0810,0810,24.4285810257185,1,130.87668747866033,-12.369730492673076
0812,0812,35.8899121508659,2,130.91448462492755,-12.37768931252757
0820,0820,39.0517214448053,3,130.86505276527683,-12.423320519966365
0822,0822,144468.865098562,4,133.01194723476058,-13.113596542463666
0828,0828,28.6465400165217,5,130.93956782582634,-12.428267359855274
0829,0829,44.8402448654091,6,131.00182371082724,-12.4492507584395
0830,0830,1216.60654962215,7,131.1614487981077,-12.357110717554477
0832,0832,31.0396686352993,8,130.9844611569933,-12.5158037541561
0835,0835,112.918353875047,9,131.0503915174807,-12.495173226695746
0836,0836,144.006078828464,10,131.13627675988442,-12.562065485267464
0837,0837,97.8508920698375,11,131.12177414186337,-12.660324091287476
0838,0838,230.061586011164,12,131.00873881006015,-12.661617412407383
0840,0840,6267.36627820383,13,130.61421489111527,-12.993868365439656
0841,0841,142.206492082899,14,130.96973139037817,-12.819298806229522
0845,0845,10.2782490392715,15,131.03029104432994,-13.053119356956318
0846,0846,8.57959087355871,16,131.11070101939202,-13.2363574664229
0847,0847,402.052192311477,17,131.8261922508699,-13.823574421101187
0850,0850,551.150715871741,18,132.27106414382888,-14.440689638634378
0852,0852,412630.153569342,19,132.9044291391686,-16.47843723381845
0853,0853,106.285074309676,20,132.3792570861815,-14.531249668386119
0854,0854,12.5634540413437,21,136.30865910240905,-16.07034171412832
0860,0860,42.0604381329238,22,134.18705876878022,-19.654834108482966
0862,0862,103602.12163228,23,136.71822426510417,-18.599468647621574
0870,0870,327.509896756557,24,133.85475257558812,-23.735013398901035
0872,0872 crosses NT/SA/WA,1203979.22835942,25,130.4847221804316,-24.009160678314842
0880,0880,105.874940099058,26,136.76777391599978,-12.200082820725486
0885,0885,2.14859571652222,27,136.4190218993416,-13.848852257743333
0886,0886,13.4413717140804,28,132.83701684636532,-12.669444898067988
2000,2000,4.27944336093912,29,151.2080011503227,-33.86873116855279
2006,2006,0.726411289479465,30,151.18709795049773,-33.88762738660682
2007,2007,0.558425378949656,31,151.19775715198296,-33.88007874954533
2008,2008,0.844341179254221,32,151.19673801043902,-33.88830734986661
2009,2009,0.932579905713976,33,151.19359632836677,-33.86877380722394
2010,2010,2.17384173491578,34,151.21493796392767,-33.88256021525642
2011,2011,1.4595260885072,35,151.22407913392763,-33.86998978607564
2015,2015,4.206463441863,36,151.19309329563728,-33.908066626956426
2016,2016,1.17187326947035,37,151.20667938275736,-33.89308575376003
2017,2017,1.93766728499383,38,151.2078049331019,-33.903059656848114
2018,2018,4.58184606548264,39,151.20896315926296,-33.92650630675797
2019,2019,6.79849103204879,40,151.20792962144512,-33.95255808746203
2020,2020,11.9641243273021,41,151.18190289680152,-33.940030801409605
2021,2021,5.70486702107029,42,151.22822783207658,-33.89315607433431
2022,2022,1.93361840097146,43,151.24936979436472,-33.89589757301374
2023,2023,2.40498277373095,44,151.25558330597786,-33.8808776504638
2024,2024,1.93706006224706,45,151.2616645819453,-33.90329607023128
2025,2025,1.27880697703703,46,151.2438280890455,-33.886830331429394
2026,2026,3.5029850793018,47,151.27231307781844,-33.889433336272305
2027,2027,1.33783689709715,48,151.2368068639212,-33.87453550242506
2028,2028,0.818700334210422,49,151.24387884899818,-33.877550377655076
2029,2029,2.49541347773382,50,151.26928616132435,-33.873884230221805
2030,2030,4.66116559824917,51,151.27839440042965,-33.85760371846228
2031,2031,6.09105579693342,52,151.2438553150014,-33.91496590055019
2032,2032,2.50171406935534,53,151.22848746064972,-33.926051177330244
2033,2033,2.25765143045646,54,151.21910816925543,-33.912962543552666
2034,2034,3.05051400654158,55,151.25443022309187,-33.92429259295866
2035,2035,7.47100372509942,56,151.23930356838846,-33.94302729959731
2036,2036,15.7135889233825,57,151.2388869957872,-33.970773386488936
2037,2037,2.14038408890769,58,151.18513995926247,-33.878810125107414
2038,2038,1.48862593117696,59,151.1714655119262,-33.88072125354956
2039,2039,1.95092203316797,60,151.17330740681885,-33.8648534261566
2040,2040,4.81119182987127,61,151.1577539290335,-33.87717401262869
2041,2041,2.38830740460278,62,151.1819860268675,-33.8566767753237
2042,2042,2.01587895102638,63,151.1777497935426,-33.898953458497346
2043,2043,0.814035867324859,64,151.18584462720983,-33.90280082215233
2044,2044,3.85395032276786,65,151.16944490517787,-33.92041102232576
2045,2045,2.38174446554823,66,151.14000983770913,-33.877980236157214
2046,2046,6.01171031870585,67,151.13210189354902,-33.860962194483285
2047,2047,2.27902096908998,68,151.15294205400917,-33.85285814959093
2048,2048,1.25948871218195,69,151.1661870583702,-33.8930982637732
2049,2049,1.94752250868158,70,151.15209048613767,-33.89479602500124
2050,2050,0.764459008738248,71,151.17714267943646,-33.88913863046715
2052,2052,0.384988913335045,72,151.23051083494443,-33.91747832892231
2060,2060,2.59168000118549,73,151.20502766452495,-33.839181069153476
2061,2061,0.647899143576093,74,151.21466436247135,-33.847332283885926
2062,2062,1.48745325812501,75,151.21425052878956,-33.82248771535664
2063,2063,2.80048335068998,76,151.21795037034758,-33.811030911956145
2064,2064,2.671589631126,77,151.18627453103562,-33.811361794610605
2065,2065,5.60811356358038,78,151.1944161056013,-33.8262105957943
2066,2066,9.57942261604822,79,151.16182508734568,-33.81654887684398
2067,2067,5.87177951294138,80,151.177950909042,-33.79626961961527
2068,2068,5.6314580212143,81,151.20829696329616,-33.79967728670479
2069,2069,7.46955896852281,82,151.19501594611154,-33.78275576659413
2070,2070,7.43904161596643,83,151.17005821296777,-33.77613250407747
